Time (s),Airflow (MAF) (g/s),Load (MAF) (g/rev),Manifold Air Pressure - Filtered (kPa),Mass Air Flow (g/s),Boost Target (kPa),Wastegate Duty Cycle (%),Air/Fuel Sensor #1 (λ),Injector Pulse Width (ms),Fuel - Base Multiplier,Power Mode - Fuel Ratio Target (λ),Fuel Trim - Long Term (%),Fuel Trim - Short Term (%),Coolant Temperature (°C),Intake Air Temperature (°C),Manifold Absolute Pressure (kPa),Engine Speed (rpm),Vehicle Speed (km/h),System Voltage (V),Ignition Advance (°),Ignition Advance - Base (°BTDC),Ignition Advance Multiplier,Ignition Advance - Fine Learn (°),Knock Retard (°),Throttle Position (%),Mass Air Flow Voltage (V),Fuel - Acceleration Enrich
0.000,8.83,0.39,40.4,8.82,100.3,0.0,0.547,2.30,0.641,1.000,0.00,0.00,20,13,40.0,1360,0,14.24,15.0,32.0,0.50,0.0,0.0,0.00,1.60,0.000
0.041,8.78,0.39,181.3,8.78,100.3,0.0,0.516,2.30,0.641,1.000,0.00,0.00,20,13,42.0,1352,0,14.24,15.0,32.0,0.50,0.0,0.0,0.00,1.60,0.000
0.094,8.78,0.39,40.5,8.78,100.3,0.0,0.539,2.30,0.641,1.000,0.00,0.00,20,13,38.0,1347,0,14.24,15.0,32.0,0.50,0.0,0.0,0.00,1.62,0.000
0.153,8.78,0.39,40.4,8.80,100.3,0.0,0.539,2.30,0.633,1.000,0.00,0.00,20,13,40.0,1346,0,14.24,15.0,32.0,0.50,0.0,0.0,0.00,1.58,0.000
0.214,8.79,0.39,41.1,8.78,100.3,0.0,0.531,2.30,0.633,1.000,0.00,0.00,20,13,40.0,1406,0,14.24,15.0,32.0,0.50,0.0,0.0,0.00,1.62,0.000
0.281,8.79,0.39,181.3,8.81,100.3,0.0,0.523,2.30,0.633,1.000,0.00,0.00,20,13,38.0,1338,0,14.24,15.0,32.0,0.50,0.0,0.0,0.00,1.60,0.000
0.348,8.76,0.39,40.5,8.76,100.3,0.0,0.539,2.30,0.633,1.000,0.00,0.00,20,13,40.0,1345,0,14.24,15.0,32.0,0.50,0.0,0.0,0.00,1.62,0.000
0.417,8.75,0.39,40.1,8.76,100.3,0.0,0.539,2.30,0.633,1.000,0.00,0.00,20,13,38.0,1349,0,14.24,15.0,32.0,0.50,0.0,0.0,0.00,1.60,0.000
0.485,8.75,0.39,39.9,8.74,100.3,0.0,0.516,2.30,0.641,1.000,0.00,0.00,20,13,39.0,1359,0,14.24,15.0,32.0,0.50,0.0,0.0,0.00,1.62,0.000
0.558,8.73,0.38,40.0,8.74,100.3,0.0,0.547,2.30,0.641,1.000,0.00,0.00,20,13,40.0,1343,0,14.32,15.0,32.0,0.50,0.0,0.0,0.00,1.60,0.000
0.628,8.73,0.39,41.1,8.72,100.3,0.0,0.508,2.30,0.633,1.000,0.00,0.00,20,13,38.0,1340,0,14.32,15.0,32.0,0.50,0.0,0.0,0.00,1.62,0.000
0.699,8.71,0.39,181.3,8.72,100.3,0.0,0.539,2.30,0.633,1.000,0.00,0.00,20,13,40.0,1338,0,14.32,15.0,32.0,0.50,0.0,0.0,0.00,1.60,0.000
